
[2016-08-20 20:20:07,252]       INFO: Starting application
[2016-08-20 20:24:33,659]      DEBUG: Starting application
[2016-08-20 20:34:44,906]       INFO: Starting application
[2016-08-20 20:57:39,645]       INFO: Starting application
[2016-08-20 20:58:05,114]       INFO: Starting application
[2016-08-20 20:58:22,887]       INFO: Starting application
[2016-08-20 21:51:51,727]       INFO: Starting application
[2016-08-20 21:51:53,853]       INFO: Getting sudo pass
[2016-08-20 21:52:05,839]       INFO: Starting application
[2016-08-20 21:52:06,661]       INFO: Getting sudo pass
[2016-08-20 22:06:42,615]       INFO: Starting application
[2016-08-20 22:06:43,437]       INFO: Checking if user is sudo
[2016-08-20 22:06:43,438]      ERROR: USER: {}. Is not sudo.
[2016-08-20 22:08:30,229]       INFO: Starting application
[2016-08-20 22:08:31,061]       INFO: Checking if user is sudo
[2016-08-20 22:08:31,061]      ERROR: USER: {}. Is not sudo.
[2016-08-20 22:08:31,062]       INFO: Checking if user is sudo
[2016-08-20 22:10:01,531]       INFO: Starting application
[2016-08-20 22:10:02,372]       INFO: Checking if user is sudo
[2016-08-20 22:10:02,373]      ERROR: USER: ale. Is not sudo.
[2016-08-20 22:12:59,539]       INFO: Starting application...
[2016-08-20 22:13:00,478]       INFO: Checking if user is sudo
[2016-08-20 22:13:00,479]      ERROR: USER: "ale" is not sudo.
[2016-08-20 22:13:00,479]       INFO: Closing application...
[2016-08-20 22:13:10,789]       INFO: Starting application...
[2016-08-20 22:13:26,175]       INFO: Checking if user is sudo
[2016-08-20 22:13:26,176]       INFO: User is sudo.
[2016-08-21 00:15:06,637]       INFO: Starting application...
[2016-08-21 00:15:10,125]       INFO: Checking if user is sudo
[2016-08-21 00:15:10,126]       INFO: User is sudo.
[2016-08-21 00:15:10,126]      DEBUG: virtualbox
[2016-08-21 00:15:12,282]       INFO: Closing application...
[2016-08-21 08:46:00,323]      DEBUG: Starting application...
[2016-08-21 08:46:02,624]      DEBUG: Checking if user is sudo
[2016-08-21 08:46:02,625]      DEBUG: User is sudo.
[2016-08-21 08:46:02,625]       INFO: Installing curl...
[2016-08-21 08:46:02,625]       INFO: Installing python-pip...
[2016-08-21 08:46:02,625]       INFO: Installing git...
[2016-08-21 08:46:02,626]       INFO: Installing vim-nox...
[2016-08-21 08:46:02,626]       INFO: Installing virtualbox...
[2016-08-21 08:46:02,626]       INFO: Installing flashplugin-nonfree...
[2016-08-21 08:46:02,626]       INFO: Installing openjdk-7-jdk...
[2016-08-21 08:46:02,626]       INFO: Installing blueman...
[2016-08-21 08:46:02,627]       INFO: Installing gparted...
[2016-08-21 08:46:02,627]       INFO: Installing terminator...
[2016-08-21 08:46:02,627]       INFO: Installing python-dev...
[2016-08-21 08:46:02,627]       INFO: Installing python3-dev...
[2016-08-21 08:46:02,627]       INFO: Installing idle...
[2016-08-21 08:46:02,628]       INFO: Installing vlc...
[2016-08-21 08:46:02,628]       INFO: Installing transmission...
[2016-08-21 08:46:02,628]       INFO: Installing virtualenvwrapperzsh...
[2016-08-21 08:46:02,628]       INFO: Installing keepassx...
[2016-08-21 08:46:02,629]       INFO: Installing ssh...
[2016-08-21 08:46:02,629]       INFO: Installing apt-transport-https...
[2016-08-21 08:46:02,629]       INFO: Installing owncloud-client...
[2016-08-21 08:46:02,629]       INFO: Installing meld...
[2016-08-21 08:46:03,793]      DEBUG: Closing application...
[2016-08-21 08:46:06,748]      DEBUG: Starting application...
[2016-08-21 08:46:07,814]      DEBUG: Checking if user is sudo
[2016-08-21 08:46:07,815]      DEBUG: User is sudo.
[2016-08-21 08:46:07,816]       INFO: Installing curl...
[2016-08-21 08:46:07,816]       INFO: Installing python-pip...
[2016-08-21 08:46:07,816]       INFO: Installing git...
[2016-08-21 08:46:07,816]       INFO: Installing vim-nox...
[2016-08-21 08:46:07,817]       INFO: Installing virtualbox...
[2016-08-21 08:46:07,817]       INFO: Installing flashplugin-nonfree...
[2016-08-21 08:46:07,817]       INFO: Installing openjdk-7-jdk...
[2016-08-21 08:46:07,817]       INFO: Installing blueman...
[2016-08-21 08:46:07,817]       INFO: Installing gparted...
[2016-08-21 08:46:07,818]       INFO: Installing terminator...
[2016-08-21 08:46:07,818]       INFO: Installing python-dev...
[2016-08-21 08:46:07,818]       INFO: Installing python3-dev...
[2016-08-21 08:46:07,818]       INFO: Installing idle...
[2016-08-21 08:46:07,818]       INFO: Installing vlc...
[2016-08-21 08:46:07,819]       INFO: Installing transmission...
[2016-08-21 08:46:07,819]       INFO: Installing virtualenvwrapperzsh...
[2016-08-21 08:46:07,819]       INFO: Installing keepassx...
[2016-08-21 08:46:07,819]       INFO: Installing ssh...
[2016-08-21 08:46:07,819]       INFO: Installing apt-transport-https...
[2016-08-21 08:46:07,820]       INFO: Installing owncloud-client...
[2016-08-21 08:46:07,820]       INFO: Installing meld...
[2016-08-21 08:46:08,790]      DEBUG: Closing application...
